epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,760.106,1.8809,7.4466,2.30316,0.00115,0.0871,0.00213,0.00116,1.66857,11.071,2.28853,1.917e-05,1.917e-05,1.917e-05
2,1494.08,1.48381,5.99752,1.8918,0.00224,0.12204,0.00336,0.00186,1.2535,9.19836,1.575,3.82768e-05,3.82768e-05,3.82768e-05
3,2219.57,1.12906,5.30826,1.58203,0.35943,0.04588,0.01569,0.01033,1.09454,7.85442,1.40942,5.65964e-05,5.65964e-05,5.65964e-05
4,2938.67,1.03589,5.04887,1.5122,0.00437,0.27625,0.01651,0.01185,1.00025,7.39237,1.357,6.67826e-05,6.67826e-05,6.67826e-05
5,3654.82,0.88029,4.6905,1.4298,0.00751,0.25887,0.0195,0.0159,0.83308,6.74706,1.21579,6.53768e-05,6.53768e-05,6.53768e-05
6,4373.51,0.77424,4.54614,1.39293,0.00639,0.27043,0.02505,0.02163,0.72393,6.24366,1.11889,6.3971e-05,6.3971e-05,6.3971e-05
7,5101.73,0.73452,4.38226,1.36103,0.65276,0.06318,0.04655,0.0403,0.61018,5.87225,1.01576,6.25652e-05,6.25652e-05,6.25652e-05
8,5817.23,0.61787,4.10666,1.25097,0.68899,0.072,0.04977,0.04444,0.55402,5.6626,0.96544,6.11594e-05,6.11594e-05,6.11594e-05
9,6541.52,0.64986,4.06769,1.29365,0.78849,0.05051,0.06027,0.05592,0.53602,5.57852,0.92965,5.97536e-05,5.97536e-05,5.97536e-05
10,7250.74,0.60274,3.83958,1.25154,0.79264,0.04806,0.07836,0.07269,0.54033,5.48982,0.93815,5.83478e-05,5.83478e-05,5.83478e-05
11,7963.41,0.57767,3.62217,1.2213,0.66998,0.11539,0.09822,0.09064,0.53124,5.38063,0.93182,5.6942e-05,5.6942e-05,5.6942e-05
12,8676.44,0.60255,3.62044,1.25978,0.7865,0.08172,0.11256,0.10468,0.53006,5.35697,0.92603,5.55362e-05,5.55362e-05,5.55362e-05
13,9399.78,0.57526,3.53694,1.23212,0.78348,0.10338,0.13022,0.1236,0.49524,5.19883,0.88567,5.41304e-05,5.41304e-05,5.41304e-05
14,10113.1,0.56888,3.51176,1.24089,0.86588,0.08887,0.14397,0.13508,0.49159,5.16674,0.89748,5.27246e-05,5.27246e-05,5.27246e-05
15,10829.3,0.57099,3.28299,1.20087,0.84085,0.09365,0.15838,0.15082,0.48796,5.21658,0.88886,5.13188e-05,5.13188e-05,5.13188e-05
16,11555.2,0.52689,3.2958,1.18633,0.89484,0.09689,0.16765,0.15818,0.51504,5.21192,0.91464,4.9913e-05,4.9913e-05,4.9913e-05
17,12272.8,0.52226,3.1288,1.19773,0.71522,0.15185,0.17695,0.16089,0.58714,5.08875,0.98717,4.85072e-05,4.85072e-05,4.85072e-05
18,12988.9,0.5456,3.00269,1.19454,0.7116,0.16292,0.18836,0.17566,0.49766,4.99164,0.88948,4.71014e-05,4.71014e-05,4.71014e-05
